"persediaan_id","produk_id","tanggal_update","stok_masuk","stok_keluar","stok_akhir"
"1","1","1/1/2023","100","50","50"
"2","2","1/3/2023","150","60","90"
"3","3","1/5/2023","200","75","125"
"4","4","1/10/2023","300","80","220"
"5","1","1/15/2023","100","50","150"
"6","2","1/20/2023","150","70","80"
"7","3","1/25/2023","200","90","110"
"8","4","2/1/2023","300","100","200"
"9","1","2/5/2023","100","65","235"
"10","2","2/10/2023","150","75","75"
"11","3","2/15/2023","200","85","115"
"12","4","2/20/2023","300","90","210"
"13","1","2/25/2023","100","50","160"
"14","2","3/1/2023","150","60","90"
"15","3","3/5/2023","200","65","135"
"16","4","3/10/2023","300","70","230"
"17","1","3/15/2023","100","80","150"
"18","2","3/20/2023","150","75","75"
"19","3","3/25/2023","200","90","110"
"20","4","3/30/2023","300","95","205"
